category_code,status,founded_at,first_investment_at,last_investment_at,investment_rounds,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,lat,lng,country_CAN,country_DEU,country_ESP,country_FRA,country_GBR,country_IND,country_IRL,country_ISR,country_SWE,country_USA,country_other,isClosed,active_days,Operating_Status
medical,operating,2006,,,15.679245283018869,2011.0,2012.0,2.0,11300000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,2.0,42.0189894,-71.0078215,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
enterprise,operating,2004,,,15.679245283018869,2011.0,2011.0,1.0,1500000.0,2010.0,2010.0,1.0,8.0,47.6101497,-122.2015159,False,False,False,False,False,False,False,False,False,True,False,1,6205,Operating
web,operating,2006,,,15.679245283018869,2007.0,2007.0,1.0,2500000.0,2010.0,2012.0,2.0,7.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
software,operating,1996,,,15.679245283018869,2011.0,2012.0,2.0,840000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,19.0,42.2695216,-71.6161294,False,False,False,False,False,False,False,False,False,True,False,1,9125,Operating
education,operating,2009,,,15.679245283018869,2011.0,2011.0,1.0,559522.0,2010.465220643231,2011.1261530790327,1.5784093742208924,4.752173199934394,43.106456,-76.2177046,False,False,False,False,True,False,False,False,False,False,False,1,4380,Operating
analytics,operating,2008,,,15.679245283018869,2012.0,2012.0,1.0,3100000.0,2009.0,2012.0,3.0,5.0,37.36883,-122.0363496,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
ecommerce,operating,2008,,,15.679245283018869,2013.0,2013.0,2.0,4815940.0,2010.465220643231,2011.1261530790327,1.5784093742208924,4.0,30.267153,-97.7430608,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
other,operating,2009,,,15.679245283018869,2011.0,2011.0,1.0,720000.0,2010.0,2010.0,1.0,3.0,55.755826,37.6172999,False,False,False,False,False,False,False,False,False,False,True,1,4380,Operating
web,operating,2007,,,15.679245283018869,2011.0,2013.0,2.0,4350000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,2.0,40.7127753,-74.0059728,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
security,operating,1997,,,15.679245283018869,2007.0,2007.0,1.0,8500000.0,2009.0,2009.0,1.0,2.0,42.3370413,-71.2092214,False,False,False,False,False,False,False,False,False,True,False,1,8760,Operating
web,operating,2008,,,15.679245283018869,2008.0,2008.0,1.0,800000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,5.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
biotech,operating,2001,,,15.679245283018869,2012.0,2012.0,1.0,10200000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,2.0,42.2917069,-85.5872286,False,False,False,False,False,False,False,False,False,True,False,1,7300,Operating
advertising,operating,2008,,,15.679245283018869,2009.0,2009.0,1.0,1000000.0,2008.0,2009.0,2.0,3.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
advertising,operating,2009,,,15.679245283018869,2009.0,2011.0,2.0,3500000.0,2008.0,2011.0,3.0,9.0,57.70887,11.97456,False,False,False,False,False,False,False,False,True,False,False,1,4380,Operating
hospitality,operating,2008,,,15.679245283018869,2009.0,2010.0,2.0,1300000.0,2009.0,2009.0,1.0,3.0,47.6062095,-122.3320708,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
games_video,operating,2008,,,15.679245283018869,2008.0,2008.0,1.0,3000000.0,2008.0,2013.0,3.0,4.0,32.068424,34.824785,False,False,False,False,False,False,False,True,False,False,False,1,4745,Operating
transportation,operating,2011,,,15.679245283018869,2011.0,2012.0,2.0,1835000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,8.0,40.7127753,-74.0059728,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
software,operating,1998,,,15.679245283018869,2010.0,2010.0,1.0,1000000.0,2004.0,2004.0,1.0,1.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,8395,Operating
mobile,operating,2011,,,15.679245283018869,2012.0,2012.0,1.0,895000.0,2011.0,2011.0,1.0,3.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
software,operating,2004,,,15.679245283018869,2012.0,2012.0,1.0,1616176.0,2004.0,2004.0,1.0,2.0,45.4383842,10.9916215,False,False,False,False,False,False,False,False,False,True,False,1,6205,Operating
medical,operating,2008,,,15.679245283018869,2011.0,2011.0,1.0,952578.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,51.5073509,-0.1277583,False,False,False,False,True,False,False,False,False,False,False,1,4745,Operating
games_video,operating,2006,,,15.679245283018869,2008.0,2008.0,1.0,7385500.0,2010.465220643231,2011.1261530790327,1.5784093742208924,4.0,59.3293235,18.0685808,False,False,False,False,False,False,False,False,True,False,False,1,5475,Operating
security,operating,2012,,,15.679245283018869,2013.0,2013.0,1.0,1700000.0,2012.0,2012.0,2.0,7.0,40.7127753,-74.0059728,False,False,False,False,False,False,False,False,False,True,False,1,3285,Operating
ecommerce,operating,2011,,,15.679245283018869,2011.0,2011.0,1.0,900000.0,2011.0,2011.0,1.0,3.0,41.0082376,28.9783589,False,False,False,False,False,False,False,False,False,False,True,1,3650,Operating
ecommerce,operating,2009,,,15.679245283018869,2013.0,2013.0,1.0,8700000.0,2012.0,2013.0,2.0,5.0,37.5585465,-122.2710788,False,False,False,False,False,False,False,False,False,True,False,1,4380,Operating
software,operating,2004,,,15.679245283018869,2010.0,2010.0,1.0,8000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,12.0,42.4792618,-71.1522765,False,False,False,False,False,False,False,False,False,True,False,1,6205,Operating
education,operating,2003,,,15.679245283018869,2013.0,2013.0,1.0,4000000.0,2011.0,2011.0,1.0,5.0,39.1637984,-119.7674034,False,False,False,False,False,False,False,False,False,True,False,1,6570,Operating
advertising,operating,2009,,,15.679245283018869,2011.0,2013.0,2.0,5694085.0,2009.0,2009.0,1.0,2.0,48.856614,2.3522219,False,False,False,True,False,False,False,False,False,False,False,1,4380,Operating
mobile,operating,2011,,,15.679245283018869,2011.0,2011.0,1.0,1200000.0,2013.0,2013.0,1.0,3.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
games_video,operating,2007,,,15.679245283018869,2010.0,2010.0,1.0,811057.0,2007.0,2007.0,1.0,4.0,55.945668,-3.992534,False,False,False,False,True,False,False,False,False,False,False,1,5110,Operating
software,operating,2001,,,15.679245283018869,2013.0,2013.0,1.0,7843200.0,2012.0,2013.0,2.0,3.0,32.7766642,-96.7969879,False,False,False,False,False,False,False,False,False,True,False,1,7300,Operating
mobile,operating,2010,,,15.679245283018869,2013.0,2013.0,1.0,4000000.0,2010.0,2013.0,2.0,4.0,37.36883,-122.0363496,False,False,False,False,False,False,False,False,False,True,False,1,4015,Operating
medical,operating,2008,,,15.679245283018869,2011.0,2011.0,1.0,6321095.0,2011.0,2011.0,1.0,1.0,57.609791,-3.61998,False,False,False,False,True,False,False,False,False,False,False,1,4745,Operating
web,operating,2010,,,15.679245283018869,2012.0,2012.0,1.0,4000000.0,2011.0,2011.0,1.0,5.0,42.3600825,-71.0588801,False,False,False,False,False,False,False,False,False,True,False,1,4015,Operating
biotech,operating,2008,,,15.679245283018869,2011.0,2013.0,2.0,2365000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,37.4418834,-122.1430195,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
mobile,operating,2010,,,15.679245283018869,2008.0,2008.0,1.0,750000.0,2012.0,2013.0,2.0,5.0,31.768319,35.21371,False,False,False,False,False,False,False,True,False,False,False,1,4015,Operating
ecommerce,operating,1996,,,15.679245283018869,2009.0,2009.0,1.0,4500000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,2.0,48.7163857,21.2610746,False,False,False,False,False,False,False,False,False,False,True,1,9125,Operating
software,operating,2007,,,15.679245283018869,2011.0,2012.0,2.0,5806037.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,40.1012856,-75.3835525,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
mobile,operating,2008,,,15.679245283018869,2008.0,2008.0,1.0,1500000.0,2009.0,2009.0,1.0,1.0,51.5073509,-0.1277583,False,False,False,False,True,False,False,False,False,False,False,1,4745,Operating
enterprise,operating,2007,,,15.679245283018869,2013.0,2013.0,1.0,10000000.0,2013.0,2013.0,1.0,7.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
enterprise,operating,2007,,,15.679245283018869,2010.0,2013.0,2.0,5000000.0,2013.0,2013.0,2.0,6.0,41.3850639,2.1734035,False,False,True,False,False,False,False,False,False,False,False,1,5110,Operating
travel,operating,2010,,,15.679245283018869,2011.0,2011.0,1.0,2750000.0,2010.0,2010.0,1.0,2.0,55.755826,37.6172999,False,False,False,False,False,False,False,False,False,False,True,1,4015,Operating
software,operating,2008,,,15.679245283018869,2010.0,2013.0,2.0,6545000.0,2008.0,2012.0,2.0,6.0,37.7799273,-121.9780153,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
software,operating,2007,,,15.679245283018869,2012.0,2013.0,2.0,4100000.0,2013.0,2013.0,1.0,8.0,45.4215296,-75.6971931,True,False,False,False,False,False,False,False,False,False,False,1,5110,Operating
ecommerce,operating,2011,,,15.679245283018869,2011.0,2011.0,1.0,700000.0,2011.0,2011.0,1.0,2.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
advertising,ipo,2009,,,15.679245283018869,2010.0,2010.0,1.0,4200000.0,2010.0,2012.0,3.0,17.0,27.9658533,-82.8001026,False,False,False,False,False,False,False,False,False,True,False,1,4380,Operating
software,operating,2005,,,15.679245283018869,2007.0,2007.0,1.0,3500000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,4.752173199934394,37.3860517,-122.0838511,False,False,False,False,False,False,False,False,False,True,False,1,5840,Operating
software,operating,2011,,,15.679245283018869,2011.0,2011.0,1.0,2000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,2.0,36.1626638,-86.7816016,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
travel,operating,2011,,,15.679245283018869,2011.0,2013.0,2.0,4400000.0,2011.0,2011.0,1.0,7.0,51.5073509,-0.1277583,False,False,False,False,True,False,False,False,False,False,False,1,3650,Operating
enterprise,operating,2007,,,15.679245283018869,2007.0,2007.0,1.0,1200000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,2.0,49.2827291,-123.1207375,True,False,False,False,False,False,False,False,False,False,False,1,5110,Operating
web,operating,2004,,,15.679245283018869,2008.0,2008.0,1.0,8600000.0,2007.0,2007.0,1.0,5.0,37.3860517,-122.0838511,False,False,False,False,False,False,False,False,False,True,False,1,6205,Operating
mobile,operating,2005,,,15.679245283018869,2007.0,2007.0,1.0,2550000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,4.0,47.6062095,-122.3320708,False,False,False,False,False,False,False,False,False,True,False,1,5840,Operating
finance,operating,2006,,,15.679245283018869,2011.0,2011.0,1.0,2000000.0,2011.0,2012.0,2.0,10.0,40.7127753,-74.0059728,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
games_video,operating,2008,,,15.679245283018869,2013.0,2013.0,2.0,9197854.0,2012.0,2013.0,2.0,7.0,40.2338438,-111.6585337,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
software,operating,2008,,,15.679245283018869,2009.0,2010.0,2.0,6700000.0,2009.0,2012.0,3.0,7.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
software,operating,2007,,,15.679245283018869,2011.0,2011.0,1.0,700000.0,2008.0,2011.0,3.0,11.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
ecommerce,operating,2008,,,15.679245283018869,2008.0,2008.0,1.0,1000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
social,operating,2005,,,15.679245283018869,2008.0,2012.0,2.0,600000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,43.9140162,-69.966996,False,False,False,False,False,False,False,False,False,True,False,1,5840,Operating
advertising,operating,2006,,,15.679245283018869,2008.0,2012.0,2.0,5000000.0,2012.0,2013.0,2.0,5.0,37.566535,126.9779692,False,False,False,False,False,False,False,False,False,False,True,1,5475,Operating
mobile,operating,2006,,,15.679245283018869,2007.0,2008.0,2.0,1700000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,3.0,37.3382082,-121.8863286,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
software,operating,2005,,,15.679245283018869,2006.0,2006.0,1.0,1800000.0,2008.0,2009.0,2.0,5.0,42.492786,-92.3425775,True,False,False,False,False,False,False,False,False,False,False,1,5840,Operating
software,operating,2004,,,15.679245283018869,2005.0,2005.0,1.0,2000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,6.0,39.061251154663864,-64.43542384120448,False,False,False,False,False,False,True,False,False,False,False,1,6205,Operating
messaging,operating,2011,,,15.679245283018869,2011.0,2013.0,2.0,6080000.0,2013.0,2013.0,1.0,7.0,37.3860517,-122.0838511,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
games_video,operating,2006,,,15.679245283018869,2008.0,2008.0,1.0,8300000.0,2008.0,2009.0,3.0,4.0,37.5629917,-122.3255254,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
